Reference,qty, Value,supplier/note,ext,MFPN,part link,qty. booards:,100
C1 ,1,10uF,,100,860010472002,https://www.digikey.ca/product-detail/en/wurth-electronics-inc/860010472002/732-8625-1-ND/5728581,,
C5 C6 C8,3,1uF,,300,860020672005,https://www.digikey.ca/product-detail/en/wurth-electronics-inc/860020672005/732-8851-1-ND/5728796,,
C10 C11 C12 C13 C15 C16 C7 C9 C14,8,0.1uF,,800,C315C104M5U5TA ,https://www.digikey.ca/product-detail/en/kemet/C315C104M5U5TA/399-4151-ND/817927,,
D1 D2 D3 D4 D5 ,5,1N4148,,500,1N4148,https://www.digikey.ca/product-detail/en/1N4148/1N4148FS-ND/458603/?itemSeq=298038621,,
D6 ,1,LED 3mm,,100,INL-3AB30,https://www.digikey.ca/product-detail/en/inolux/INL-3AB30/1830-1005-ND/7604618,,
D7 ,1,1N4001,,100,1N4001-G,https://www.digikey.ca/product-detail/en/comchip-technology/1N4001-G/641-1310-1-ND/1979675,,
K1 K2 K3 K4 ,3,3p SIP socket,,400,SSQ-103-02-T-S-RA,https://www.digikey.ca/product-detail/en/SSQ-103-02-T-S-RA/SAM1195-03-ND/1111409/?itemSeq=297654833K1 K2 K3 K4 ,,
P2 P3 P4 P5,3,3p pin header,Addison,400,,,,
R1 R2 R3 R10 R11 R12 R13 R8 ,8,10K,,800,CF14JT10K0 ,https://www.digikey.ca/product-detail/en/CF14JT10K0/CF14JT10K0CT-ND/1830374/?itemSeq=297515842,,
R15 ,1,680R,,100,CF14JT680R,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/CF14JT680R/CF14JT680RCT-ND/1830346,,
R6 ,1,100K,,100,CF14JT100K,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/CF14JT100K/CF14JT100KCT-ND/1830399,,
R7 R14,2,27K,,200,CF14JT27K0,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/CF14JT27K0/CF14JT27K0CT-ND/1830385,,
R9 ,1,51K,,100,CF14JT51K0,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/CF14JT51K0/CF14JT51K0CT-ND/1830392,,
RV2 ,1,10K trimmer,Addison,100,1-1623849-0,https://www.digikey.ca/product-detail/en/te-connectivity-passive-product/1-1623849-0/A105870-ND/2363126,,
U1 ,1,LM311,,100,LM311P,https://www.digikey.ca/product-detail/en/texas-instruments/LM311P/296-1389-5-ND/277038,,
U2 U3 ,2,555,,200,SE555P ,https://www.digikey.ca/product-detail/en/SE555P/296-9684-5-ND/380221/?itemSeq=297424092,,
IC sockets,3,8 pin DIP,Addison,300,ICS-308-T,https://www.digikey.ca/product-detail/en/adam-tech/ICS-308-T/2057-ICS-308-T-ND/9829299,,
spacer,1,5/16”,,100,9912-312 ,https://www.digikey.ca/product-detail/en/9912-312/492-1120-ND/586440/?itemSeq=297947991,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
pinheaders,,,,,,,,
